"Categoria";"Decorrenza";"Scadenza";"Stato File";"Anno Scadenza";"Anno Stipula";"Tipologia";"Anno Decorrenza";"Codice CCNL";"Stipula";"Ultimo vigente";
"ENTI PUBBLICI NON ECONOMICI";"01/01/1998";"31/12/2001";"C";"2001";"1998";"Accordo di rinnovo";"1998";"S511980";"06/11/1998";"";
"SANITA': Medici Pediatri";"";"";"C";"";"2000";"Verbale integrativo";"";"S251001";"06/11/2000";"";
"METALMECCANICA: Artigiane";"01/12/1988";"30/06/1991";"C";"1991";"1988";"Testo definitivo";"1988";"C015880";"06/12/1988";"";
"ASSICURAZIONI: Dipendenti (ANIA)";"06/12/1994";"31/12/1997";"C";"1997";"1994";"Testo definitivo";"1994";"J121940";"06/12/1994";"";
"AEREI: Assistenza al Volo (Dipendenti AA.VV)";"01/01/1994";"31/12/1997";"C";"1997";"1995";"Testo definitivo";"1994";"I842950";"06/12/1995";"";
"COMMERCIO: Cooperative di Consumo";"01/01/1997";"31/12/1998";"C";"1998";"1996";"Economico 2. biennio";"1997";"H016960";"06/12/1996";"";
"SACRISTI E DIPENDENTI DA PARROCCHIE";"01/01/2002";"31/12/2004";"C";"2004";"2001";"Testo definitivo";"2002";"V411010";"06/12/2001";"";
"EDILI: Soci e Dipendenti Cooperative";"01/12/2006";"30/11/2010";"C";"2010";"2006";"Testo definitivo";"2006";"F01D060";"06/12/2006";"";
"VIGILANZA";"01/05/2004";"31/12/2008";"C";"2008";"2006";"Testo definitivo";"2004";"HV17060";"06/12/2006";"SI";
"CHIMICO FARMACEUTICA e AFFINI: Industrie";"01/01/2008";"31/12/2009";"C";"2009";"2007";"Economico 2. biennio";"2008";"B011073";"06/12/2007";"";
"CHIMICO FARMACEUTICA e AFFINI: Industrie";"01/01/2008";"31/12/2009";"C";"2009";"2007";"Economico 2. biennio";"2008";"B011074";"06/12/2007";"";
"AUTOFERROTRANVIERI";"";"";"C";"";"1991";"Accordo di rinnovo";"";"I022910";"07/02/1991";"";
"TURISMO (AZIENDE FEDERTURISMO)";"01/07/1994";"30/06/1998";"C";"1998";"1996";"Accordo di rinnovo";"1994";"K451962";"07/02/1996";"";
"UIL (Lavoratori Dipendenti)";"01/01/2001";"31/12/2002";"C";"2002";"2001";"Economico 2. biennio";"2001";"TA11010";"07/02/2001";"";
"SANITA': Personale non medico area privata";"";"";"C";"";"2003";"Verbale integrativo";"";"T011030";"07/02/2003";"";
"VETRO: Industrie";"01/04/1987";"31/05/1990";"C";"1990";"1987";"Testo definitivo";"1987";"B132870";"07/03/1987";"";
"PULIZIA: Imprese";"01/03/1989";"31/07/1991";"C";"1991";"1989";"Testo definitivo";"1989";"K511890";"07/03/1989";"";
"PULIZIA Disinfezione Disinfestazione (PMI Cooperative Artigiane)";"01/03/1989";"31/07/1991";"C";"1991";"1989";"Testo definitivo";"1989";"K521890";"07/03/1989";"";
"CONSORZI di Bonifica: Quadri";"01/01/1994";"31/12/1997";"C";"1997";"1996";"Testo definitivo";"1994";"A121960";"07/03/1996";"";
"CONSORZI di Bonifica: Quadri";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Economico 2. biennio";"1996";"A121961";"07/03/1996";"";
"TESSILI ABBIGLIAMENTO: Artigiane";"01/01/2002";"31/12/2003";"C";"2003";"2002";"Economico 2. biennio";"2002";"D020020";"07/03/2002";"";
"PELLI E SUCCEDANEI: Artigiane";"01/01/2002";"31/12/2003";"C";"2003";"2002";"Economico 2. biennio";"2002";"D119020";"07/03/2002";"";
"CALZATURE: Artigiane";"01/01/2002";"31/12/2003";"C";"2003";"2002";"Economico 2. biennio";"2002";"D129020";"07/03/2002";"";
"CONI";"01/01/2000";"31/12/2001";"C";"2001";"2002";"Economico 2. biennio";"2000";"S641020";"07/03/2002";"";
"UIL (Lavoratori Dipendenti)";"01/01/2003";"31/12/2006";"C";"2006";"2003";"Testo definitivo";"2003";"TA11030";"07/03/2003";"";
"CINEMA AUDIOVISIVI: Industrie";"01/01/2004";"31/12/2007";"C";"2007";"2005";"Testo definitivo";"2004";"G111";"07/03/2005";"";
"ENEA: Dirigenti";"01/01/2004";"31/12/2005";"C";"2005";"2007";"Economico 2. biennio";"2004";"S622071";"07/03/2007";"";
"ENEA: Dirigenti";"01/01/2002";"31/12/2005";"C";"2005";"2007";"Testo definitivo";"2002";"S622070";"07/03/2007";"SI";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"07/03/2008";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"07/03/2008";"";
"BANCARI: Banca D'Italia - carriera Direttiva";"";"";"C";"";"2008";"Verbale Integrativo";"";"J257";"07/03/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"07/03/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"07/03/2008";"";
"BANCARI: Banca D'Italia - carriera Operativa";"";"";"C";"";"2008";"Verbale Integrativo";"";"J267";"07/03/2008";"";
"Segretari Comunali e Provinciali";"01/01/2004";"31/12/2005";"C";"2005";"2008";"Economico 2. biennio";"2004";"S111081";"07/03/2008";"";
"Segretari Comunali e Provinciali";"01/01/2002";"31/12/2005";"C";"2005";"2008";"Accordo di rinnovo";"2002";"S111080";"07/03/2008";"SI";
"LAVORO DOMESTICO";"";"28/02/2011";"I";"2011";"2008";"Verbale Integrativo";"";"H501";"07/03/2008";"SI";
"SECURITY";"01/03/2012";"28/02/2012";"I";"2012";"2012";"Testo definitivo";"2012";"HV38";"07/03/2012";"SI";
"ASSICURAZIONI: Dipendenti (ANIA)";"01/01/2010";"30/06/2013";"I";"2013";"2012";"Accordo di rinnovo";"2010";"J121";"07/03/2012";"SI";
"ESATTORIE: Personale Direttivo Concessionari";"07/04/1992";"30/06/1992";"C";"1992";"1992";"Testo definitivo";"1992";"J321920";"07/04/1992";"";
"GOMMA E PLASTICA: P.M.I.";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"B375980";"07/04/1998";"";
"ELETTRICI: Municipalizzate";"01/01/1998";"31/12/1998";"C";"1998";"1998";"Economico 2. biennio";"1998";"K021980";"07/04/1998";"";
"SANITA': Comparto Pubblico";"01/01/1998";"31/12/2001";"C";"2001";"1999";"Testo definitivo";"1998";"S211990";"07/04/1999";"";
"ORAFI  ARGENTIERI: Industrie";"01/04/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"C021000";"07/04/2000";"";
"ORAFI  ARGENTIERI: Industrie";"01/04/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"C021001";"07/04/2000";"";
"SANITA': Medici Pediatri";"01/01/1998";"31/12/2000";"C";"2000";"2000";"Testo definitivo";"1998";"S251000";"07/04/2000";"";
"ENTI DI RICERCA";"01/01/2002";"31/12/2005";"C";"2005";"2006";"Accordo di rinnovo";"2002";"S311060";"07/04/2006";"";
"ENTI DI RICERCA";"01/01/2004";"31/12/2005";"C";"2005";"2006";"Economico 2. biennio";"2004";"S311061";"07/04/2006";"";
"CEMENTO  CALCE  GESSO: Industrie";"01/02/2008";"31/12/2011";"C";"2011";"2008";"Accordo di rinnovo";"2008";"F032";"07/04/2008";"";
"ENTI FORMAZIONE PROFESSIONALE";"01/11/2010";"31/10/2013";"I";"2013";"2011";"Verbale Integrativo";"2010";"T275";"07/04/2011";"";
"CINEMA: Generici Produzione A.V.";"07/05/1982";"15/04/1984";"C";"1984";"1982";"Testo definitivo";"1982";"G131820";"07/05/1982";"";
"TESSILI ABBIGLIAMENTO - CALZATURE: Artigiane";"01/01/1993";"31/12/1996";"C";"1996";"1993";"Accordo di rinnovo";"1993";"D015930";"07/05/1993";"";
"TESSILI ABBIGLIAMENTO - CALZATURE: Artigiane";"01/01/1993";"31/12/1996";"C";"1996";"1993";"Testo definitivo";"1993";"D015931";"07/05/1993";"";
"AGENTI DI COMMERCIO (Sett. Commercio)";"07/05/1993";"06/05/1996";"C";"1996";"1993";"Accordo di rinnovo";"1993";"H091930";"07/05/1993";"";
"TESSILI ABBIGLIAMENTO - CALZATURE: Artigiane";"01/05/1996";"31/12/1996";"C";"1996";"1996";"Economico 2. biennio";"1996";"D015960";"07/05/1996";"";
"OCCHIALI: Artigiane";"01/05/1996";"31/12/1999";"C";"1999";"1996";"Testo definitivo";"1996";"D275960";"07/05/1996";"";
"FERROVIE: Addetti ai Servizi in appalto";"";"";"C";"";"1996";"Verbale integrativo";"";"I361960";"07/05/1996";"";
"AGRICOLTURA: Dirigenti";"01/01/1997";"31/12/2000";"C";"2000";"1997";"Accordo di rinnovo";"1997";"A031970";"07/05/1997";"";
"AGRICOLTURA: Dirigenti";"01/01/1997";"31/12/2000";"C";"2000";"1997";"Testo definitivo";"1997";"A031971";"07/05/1997";"";
"SERVIZI SOCIO-ASSISTENZIALI: Cooperative";"01/04/1995";"31/12/1997";"C";"1997";"1997";"Testo definitivo";"1995";"T151970";"07/05/1997";"";
"AREA II: Dirigenti (Regioni)";"";"";"C";"";"2002";"Verbale integrativo";"";"S103021";"07/05/2002";"";
"METALMECCANICA: Industrie;METALMECCANICA: Industrie";"01/06/2003";"31/12/2006";"C";"2006";"2003";"Accordo di rinnovo";"2003";"C011030";"07/05/2003";"";
"METALMECCANICA: Industrie";"01/06/2003";"31/12/2006";"C";"2006";"2003";"Testo definitivo";"2003";"C011031";"07/05/2003";"";
"METALMECCANICA: Industrie";"01/06/2003";"31/12/2006";"C";"2006";"2003";"Accordo di rinnovo";"2003";"C012030";"07/05/2003";"";
"DIRIGENTI: Imprese Pubbliche Locali";"01/01/2002";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2002";"V042030";"07/05/2003";"";
"VIGILI DEL FUOCO";"01/01/2006";"31/12/2009";"I";"2009";"2008";"Testo definitivo";"2006";"S841";"07/05/2008";"SI";
"VIGILI DEL FUOCO: direttivi e dirigenti";"01/01/2006";"31/12/2009";"I";"2009";"2008";"Testo definitivo";"2006";"S842";"07/05/2008";"SI";
"AGRICOLTURA: Operai e Florovivaisti";"";"";"C";"";"2009";"Verbale Integrativo";"";"A011";"07/05/2009";"";
"EDILI: Imprese  coop. artigiane  PMI - CONFIMEA";"";"";"I";"";"2012";"Verbale Integrativo";"";"F01H";"07/05/2012";"";
"Studi Professionali";"";"";"I";"";"2012";"Verbale Integrativo";"";"H444";"07/05/2012";"";
"ASSISTENZA FAMILIARE";"";"";"I";"";"2012";"Verbale Integrativo";"";"H508";"07/05/2012";"";
"CENTRI DI ELABORAZIONE DATI";"";"";"I";"";"2012";"Verbale Integrativo";"";"H634";"07/05/2012";"";
"FORMAZIONE E ORIENTAMENTO  SICUREZZA SUL LAVORO  QUALITA' E AMBIENTE (CONFIMEA)";"";"";"I";"";"2012";"Verbale Integrativo";"";"V257";"07/05/2012";"";
"AGENTI E RAPPRESENTANTI DI CONSORZI AGRARI";"01/01/1990";"31/12/1992";"C";"1992";"1990";"Testo definitivo";"1990";"H0A1900";"07/06/1990";"";
"FOTO LABORATORI CONTO TERZI";"01/07/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"G511910";"07/06/1991";"";
"EUR";"01/01/1994";"31/12/1997";"C";"1997";"1996";"Testo definitivo";"1994";"S631960";"07/06/1996";"";
"MINERO-METALLURGICHE: Industrie";"";"";"C";"";"2004";"Accordo di rinnovo";"";"B282040";"07/06/2004";"";
"AZIENDE AEROFOTOGRAMMETRICHE";"01/07/2003";"30/06/2007";"C";"2007";"2004";"Accordo di rinnovo";"2003";"G501";"07/06/2004";"SI";
"TEATRI: Personale non Artistico";"01/01/1987";"30/06/1990";"C";"1990";"1988";"Testo definitivo";"1987";"G311880";"07/07/1988";"";
"MAGAZZINI GENERALI: Dirigenti";"01/01/1990";"31/12/1991";"C";"1991";"1992";"Accordo di rinnovo";"1990";"I241920";"07/07/1992";"";
"METALMECCANICA: PP.SS.";"";"";"C";"";"1999";"Verbale integrativo";"";"C013990";"07/07/1999";"";
"METALMECCANICA: P.M.I.";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Accordo di rinnovo";"1999";"C018990";"07/07/1999";"";
"METALMECCANICA: P.M.I.";"07/07/1999";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"1999";"C018991";"07/07/1999";"";
"CONSORZI ED ENTI DI INDUSTRIALIZZAZIONE: Dirigenti";"01/01/2004";"31/12/2007";"C";"2007";"2005";"Accordo di rinnovo";"2004";"T812";"07/07/2005";"";
"OMBRELLI OMBRELLONI ...: Industrie";"01/01/2006";"31/03/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"D251060";"07/07/2006";"";
"PARRUCCHIERI: Artigiane";"01/01/2005";"31/12/2008";"C";"2008";"2008";"Accordo di rinnovo";"2005";"H515";"07/07/2008";"";
"FEDERCULTURE: Dipendenti";"01/01/2008";"31/12/2011";"C";"2011";"2009";"Testo definitivo";"2008";"T711";"07/07/2009";"SI";
"FEDERCULTURE: Dipendenti";"01/01/2008";"31/12/2011";"C";"2011";"2009";"Testo definitivo";"2008";"T711";"07/07/2009";"SI";
"BANCARI: ABI (Quadri direttivi e aree professionali)";"07/07/2010";"31/12/2010";"I";"2010";"2010";"Verbale Integrativo";"2010";"J241";"07/07/2010";"";
"FIORI (IMPORT-EXPORT)";"01/01/2010";"31/12/2012";"I";"2012";"2010";"Testo definitivo";"2010";"H201";"07/07/2010";"SI";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2010";"31/12/2012";"C";"2012";"2011";"Verbale Integrativo";"2010";"A181";"07/07/2011";"SI";
"ALIMENTARISTI: Industrie";"01/08/1991";"31/05/1995";"C";"1995";"1991";"Testo definitivo";"1991";"E012910";"07/08/1991";"";
"AEREI: Compagnie Aeree Straniere (FAIRO)";"01/07/1991";"30/06/1995";"C";"1995";"1992";"Testo definitivo";"1991";"I859920";"07/08/1992";"";
"MARITTIMI: Ufficiali Radiotelegrafisti";"01/01/1997";"31/12/1998";"C";"1998";"1997";"Economico 2. biennio";"1997";"I411970";"07/08/1997";"";
"COMMERCIO - CISAL (da 15 a 50 dipendenti)";"01/10/1996";"30/09/2000";"C";"2000";"1996";"Testo definitivo";"1996";"H029960";"07/09/1996";"";
"CARTARIE E CARTOTECNICHE: P.M.I.";"01/10/1993";"30/06/1997";"C";"1997";"1993";"Testo definitivo";"1993";"G028930";"07/10/1993";"";
"ENTI DI RICERCA";"01/01/1994";"31/12/1997";"C";"1997";"1996";"Testo definitivo";"1994";"S311961";"07/10/1996";"";
"CONI: Dirigenti";"01/01/1996";"31/12/1997";"C";"1997";"1997";"Economico 2. biennio";"1996";"S642971";"07/10/1997";"";
"SANITA': Dipendenti ANFFAS";"01/01/1996";"31/12/1997";"C";"1997";"1997";"Economico 2. biennio";"1996";"T021970";"07/10/1997";"";
"CHIMICO FARMACEUTICA e AFFINI: Industrie";"01/01/1998";"";"C";"";"1998";"Verbale integrativo";"1998";"B011982";"07/10/1998";"";
"ORAFI  ARGENTIERI ED AFFINI: Artigiani";"01/01/1997";"31/12/2000";"C";"2000";"1998";"Accordo di rinnovo";"1997";"C025980";"07/10/1998";"";
"ORAFI  ARGENTIERI ED AFFINI: Artigiani";"01/01/1997";"31/12/2000";"C";"2000";"1998";"Testo definitivo";"1997";"C025981";"07/10/1998";"";
"PULIZIA: Imprese";"";"";"C";"";"2003";"Verbale integrativo";"";"K511032";"07/10/2003";"";
"OLEARIA E MARGARINIERA: Industrie;OLEARIA E MARGARINIERA: Industrie";"01/06/2003";"31/05/2007";"C";"2007";"2003";"Accordo di rinnovo";"2003";"E053030";"07/10/2003";"SI";
"AGRICOLTURA: Operai e Florovivaisti;AGRICOLTURA: Operai e Florovivaisti";"01/01/1996";"31/12/1997";"C";"1997";"1995";"Economico 2. biennio";"1996";"A011952";"07/11/1995";"";
"LEGNO  ARREDAMENTO: P.M.I.";"";"";"C";"";"1997";"Verbale integrativo";"";"F058971";"07/11/1997";"";
"SANITA': Dipendenti AVIS";"01/01/2000";"31/12/2001";"C";"2001";"2000";"Economico 2. biennio";"2000";"T031000";"07/11/2000";"";
"IPPICA: Dipendenti Societa' Corse dei Cavalli";"07/11/2006";"30/06/2010";"C";"2010";"2006";"Accordo di rinnovo";"2006";"GI91060";"07/11/2006";"";
"AGENZIA DEL DEMANIO";"01/10/2006";"30/09/2008";"C";"2008";"2006";"Economico 2. biennio";"2006";"T421";"07/11/2006";"";
"IPPICA: Dipendenti Societa' Corse dei Cavalli";"07/11/2006";"30/06/2010";"C";"2010";"2006";"Testo definitivo";"2006";"GI91";"07/11/2006";"SI";
"SANITA': Dirigenti AVIS";"";"31/12/2009";"C";"2009";"2008";"Accordo di rinnovo";"";"T032";"07/11/2008";"";
"TEATRI STABILI/ETI: Personale non Artistico";"01/04/1995";"31/03/1999";"C";"1999";"1995";"Accordo di rinnovo";"1995";"G319950";"07/12/1995";"";
"CINEMA: Tecnici e Maestranze";"01/04/2000";"31/03/2004";"C";"2004";"1999";"Testo definitivo";"2000";"G121990";"07/12/1999";"SI";
"BANCARI: Casse Rurali e Artigiane - Credito Cooperativo";"07/12/2000";"31/12/2001";"C";"2001";"2000";"Accordo di rinnovo";"2000";"J271000";"07/12/2000";"";
"BANCARI: Casse Rurali e Artigiane - Credito Cooperativo";"07/12/2000";"31/12/2001";"C";"2001";"2000";"Testo definitivo";"2000";"J271001";"07/12/2000";"";
"SANITA': Personale non medico area privata";"01/01/2002";"31/12/2005";"C";"2005";"2004";"Testo definitivo";"2002";"T011040";"07/12/2004";"SI";
"MINISTERI";"01/01/2004";"31/12/2005";"C";"2005";"2005";"Economico 2. biennio";"2004";"S001050";"07/12/2005";"";
"SCUOLA: Comparto PUBBLICO";"01/01/2004";"31/12/2005";"C";"2005";"2005";"Economico 2. biennio";"2004";"S321051";"07/12/2005";"";
"AZIENDE e Amministr. dello Stato a gestione autonoma";"01/01/2004";"31/12/2005";"C";"2005";"2005";"Economico 2. biennio";"2004";"S411050";"07/12/2005";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2010";"31/12/2012";"C";"2012";"2010";"Accordo di rinnovo";"2010";"A181";"07/12/2010";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2010";"31/12/2012";"I";"2012";"2010";"Testo definitivo";"2010";"A181";"07/12/2010";"SI";
"ESATTORIE: Cons. Naz. Obblig. Esattori Imposte Dirette";"01/01/1990";"31/12/1992";"C";"1992";"1991";"Accordo di rinnovo";"1990";"J341910";"08/01/1991";"";
"ASSICURAZIONI: Agenzie in gestione libera (UNAPASS)";"01/01/1995";"31/12/1996";"C";"1996";"1996";"Testo definitivo";"1995";"J151960";"08/01/1996";"";
"FARMACIE PRIVATE";"01/01/1997";"31/01/1998";"C";"1998";"1997";"Economico 2. biennio";"1997";"H121970";"08/01/1997";"";
"ALIMENTARISTI: P.M.I.";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"E018980";"08/01/1998";"";
"VIGILANZA";"01/05/2001";"30/04/2004";"C";"2004";"2002";"Testo definitivo";"2001";"HV17020";"08/01/2002";"";
"Concessionari Servizi Tributi";"01/01/2002";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2002";"J351030";"08/01/2003";"";
"Concessionari Servizi Tributi: Dirigenti";"01/01/2002";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2002";"J352030";"08/01/2003";"";
"ESATTORIE: Cons. Naz. Obblig. Es. Imp.Dirette (pers. dir.)";"";"";"C";"";"1996";"Verbale integrativo";"";"J342960";"08/02/1996";"";
"AUTOFERROTRANVIERI";"";"";"C";"";"2001";"Verbale integrativo";"";"I022011";"08/02/2001";"";
"EDILI: Soci e Dipendenti Cooperative";"01/12/2010";"30/11/2013";"F";"2013";"2011";"Testo definitivo";"2010";"F01D";"08/02/2011";"SI";
"MARITTIMI: Navigazione Interna - LACUALE";"";"";"C";"";"1989";"Accordo di rinnovo";"";"I671890";"08/03/1989";"";
"Imprese Radiotelevisive Private";"01/03/1991";"31/12/1993";"C";"1993";"1991";"Testo definitivo";"1991";"G091910";"08/03/1991";"";
"ELETTRICI: ENEL Dirigenti";"01/01/1999";"31/12/2001";"C";"2001";"1999";"Accordo di rinnovo";"1999";"K032990";"08/03/1999";"";
"LAVORO DOMESTICO";"08/03/2001";"07/03/2005";"C";"2005";"2001";"Testo definitivo";"2001";"H501010";"08/03/2001";"";
"SCUOLA: Comparto PUBBLICO";"";"";"C";"";"2002";"Verbale integrativo";"";"S321020";"08/03/2002";"";
"PESCA MARITTIMA: Industrie";"";"";"C";"";"2005";"Accordo di rinnovo";"";"E071050";"08/03/2005";"";
"CEMENTO  CALCE  GESSO: Industrie";"01/10/2005";"30/09/2007";"C";"2007";"2006";"Economico 2. biennio";"2005";"F032060";"08/03/2006";"";
"UNIVERSITA' TELEMATICA 'GIUSTINO FORTUNATO'";"01/01/2011";"31/12/2012";"C";"2012";"2011";"Economico 2. biennio";"2011";"T280";"08/03/2011";"";
"Imprese Radiotelevisive Private";"";"31/12/2012";"F";"2012";"2012";"Verbale Integrativo";"";"G091";"08/03/2012";"";
"AZIENDE e Amministr. dello Stato a gestione autonoma";"01/01/1985";"31/12/1987";"C";"1987";"1987";"Testo definitivo";"1985";"S411870";"08/04/1987";"";
"ORAFI  ARGENTIERI: Industrie";"01/01/1997";"31/10/1999";"C";"1999";"1997";"Economico 2. biennio";"1997";"C021970";"08/04/1997";"";
"PANIFICAZIONE: (UNCI - UCICT)";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"E026980";"08/04/1998";"";
"PANIFICAZIONE: (UNCI - UCICT)";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Verbale integrativo";"1998";"E026981";"08/04/1998";"";
"RADIO TELEVISIONE: Aziende private";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"G099980";"08/04/1998";"";
"RADIO TELEVISIONE: Aziende private";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Verbale integrativo";"1998";"G099981";"08/04/1998";"";
"TERZIARO E SERVIZI - CNAI-UCICT";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"H018";"08/04/1998";"";
"TERZIARO E SERVIZI - CNAI-UCICT";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Verbale integrativo";"1998";"H018";"08/04/1998";"";
"COMMERCIO - CISAL (fino a 14 dipendenti)";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"H019980";"08/04/1998";"";
"COMMERCIO - CISAL (fino a 14 dipendenti)";"";"31/12/1999";"C";"1999";"1998";"Verbale integrativo";"";"H019981";"08/04/1998";"";
"TURISMO - CISAL (fino a 14 dipendenti)";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"H055980";"08/04/1998";"";
"TURISMO - CISAL (fino a 14 dipendenti)";"";"31/12/1999";"C";"1999";"1998";"Verbale integrativo";"";"H055981";"08/04/1998";"";
"COLLABORAZIONI Coordinate e Continuative (CNAI)";"01/05/1998";"30/04/2004";"C";"2004";"1998";"Testo definitivo";"1998";"V111980";"08/04/1998";"SI";
"CONSORZI AGRARI: Operai e Impiegati";"01/01/1999";"31/12/2000";"C";"2000";"1999";"Economico 2. biennio";"1999";"A141990";"08/04/1999";"";
"SCUOLA: Comparto PUBBLICO";"01/01/2006";"31/12/2009";"C";"2009";"2008";"Verbale Integrativo";"2006";"S321080";"08/04/2008";"";
"Az. Artigiane di Lavanderie  Tintorie  affini (CAPIMED-FENAPI-USAE-USPPI-CEL)";"01/01/2007";"31/12/2010";"C";"2010";"2008";"Testo definitivo";"2007";"D0L9";"08/04/2008";"SI";
"Aziende Artigiane Alimentari (CAPIMED-FENAPI-USAE-USPPI-CEL)";"01/01/2007";"31/12/2010";"C";"2010";"2008";"Testo definitivo";"2007";"E010";"08/04/2008";"SI";
"Aziende Artigiane del Legno ed Affini (CAPIMED-FENAPI-USAE-USPPI-CEL)";"01/01/2007";"31/12/2010";"C";"2010";"2008";"Testo definitivo";"2007";"F065";"08/04/2008";"SI";
"Aziende Artigiane Odontotecniche (CAPIMED-FENAPI-USAE-USPPI-CEL)";"01/01/2007";"31/12/2010";"C";"2010";"2008";"Testo definitivo";"2007";"H490";"08/04/2008";"SI";
"Aziende Artigiane di Parrucchieri  Barbieri ed Estetica (CAPIMED-FENAPI-USAE-USPPI-CEL)";"01/01/2007";"31/12/2010";"C";"2010";"2008";"Testo definitivo";"2007";"H525";"08/04/2008";"SI";
"PULIZIA: Aziende artigiane di pulimento e multiservizi (CAPIMED-FENAPI-USAE-USPPI-CEL)";"01/01/2007";"31/12/2010";"C";"2010";"2008";"Testo definitivo";"2007";"K555";"08/04/2008";"SI";
"TURISMO (AZIENDE CONFCOMMERCIO)";"";"";"C";"";"2011";"Verbale Integrativo";"";"H052";"08/04/2011";"";
"ENTI LIRICI";"01/01/1996";"31/12/1997";"C";"1997";"1997";"Economico 2. biennio";"1996";"G369970";"08/05/1997";"";
"AREA I: Dirigenti (Ministeri-Aziende)";"";"";"C";"";"2001";"Verbale integrativo";"";"S013012";"08/05/2001";"";
"PANIFICAZIONE: CONFCOMMERCIO";"01/03/2002";"29/02/2004";"C";"2004";"2002";"Economico 2. biennio";"2002";"E027020";"08/05/2002";"";
"BANCARI: Casse Rurali - Credito Cooperativo: Dirigenti (Cooperative)";"";"";"C";"";"2002";"Verbale integrativo";"";"J282021";"08/05/2002";"";
"POMPE FUNEBRI: Agenzie Private";"01/04/2002";"31/03/2004";"C";"2004";"2003";"Economico 2. biennio";"2002";"IB11030";"08/05/2003";"";
"ENTI PUBBLICI NON ECONOMICI";"01/01/2004";"31/12/2005";"C";"2005";"2006";"Economico 2. biennio";"2004";"S511060";"08/05/2006";"";
"COMMERCIO E SERVIZI";"";"";"C";"";"2007";"Verbale Integrativo";"";"H011071";"08/05/2007";"";
"COMMERCIO E SERVIZI";"";"";"C";"";"2007";"Verbale Integrativo";"";"H011072";"08/05/2007";"";
"GIORNALI E QUOTIDIANI: Operai e Impiegati";"01/06/1991";"31/03/1994";"C";"1994";"1991";"Testo definitivo";"1991";"G041910";"08/06/1991";"";
"AMBULATORI PRIVATI (ANISAP)";"01/07/1993";"01/07/1996";"C";"1996";"1993";"Accordo di rinnovo";"1993";"HS51930";"08/06/1993";"";
"SPETTACOLO Esercizi Pubblici: Artisti a tempo determinato";"01/07/1995";"30/04/1999";"C";"1999";"1995";"Testo definitivo";"1995";"G351950";"08/06/1995";"";
"MARITTIMI: Bare Boat Navi Crociera - Equip. Straniero";"01/07/1995";"31/12/1998";"C";"1998";"1995";"Testo definitivo";"1995";"I642950";"08/06/1995";"";
"MARITTIMI: Bare Boat Navi Crociera - Equip. Italiano";"01/07/1995";"31/05/1998";"C";"1998";"1995";"Testo definitivo";"1995";"I643950";"08/06/1995";"";
"METALMECCANICA: Industrie";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Accordo di rinnovo";"1999";"C011990";"08/06/1999";"";
"METALMECCANICA: Industrie;METALMECCANICA: Industrie";"01/06/1999";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"1999";"C011991";"08/06/1999";"";
"RAI";"08/06/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"G093000";"08/06/2000";"";
"SANITA': Comparto Pubblico Area Medica - Dirigenti";"01/01/1998";"31/12/2001";"C";"2001";"2000";"Testo definitivo";"1998";"S222000";"08/06/2000";"";
